irszám.	MAI CÍM	maicim_1	maicim_2	maicim_rest	Google koordináta	TÁRGY	t_n_t_s2	targy_func1_orig	targy_nev	targy_height	targy_qnt	forrás	forras_link_nr	forras_link_host	forras_link	további inf.	tov-inf_link_numbered	tov-inf_link_scheme-host	tov-inf_link_nr	orig_ln
	Dessewffy utca 18-20.	Dessewffy utca 18-20.				SI (Sándor) Schlesinger Emma, így Kodály Z rokona							0			2000-től ruházati bolt			0	208
1066	Dessewffy utca 49. nincs meg, vagy teljesen átépítették	Dessewffy utca 49.		**nincs meg, vagy teljesen átépítették	47.506639,19.059331	négyemeletes ház				4-S<emelet>		MZs	0						0	209
1134	Dévai utca Lehel és Váci utca közti szakasza, nincs meg	Dévai utca	Lehel utca	Váci utca ****közti szakasza, nincs meg		ötemeletes ház				5-S<emelet>		MZs	0						0	210
	Dezső-Derék két oldala	Dezső utca	Derék utca két oldala		47.492218,19.034434	emeletes ház				?-S<emelet>			0						0	211
1074	Dob utca 21. nem épült meg, 2 em. hist. műeml. ép.	Dob utca 21.		**nem épült meg, 2 em. hist. műeml. ép.	47.49805,19.061197	ötemeletes ház				5-S<emelet>		MZs	0						0	212
	Dob utca 35.	Dob utca 35.				Kazinczy utcai Zsinagóga hátsó bejárata		<zsinagóga>	'Kazinczy utcai Zsinagóga'				0						0	213
1074	Dob utca 5., Rumbach Sebestyén utca 4.	Dob utca 5.	  Rumbach Sebestyén utca 4.		47.4968848, 19.0598433	lakóház		<lakó>, ;				18	0			4. A félemelet ; 11. H részlet - átalakítás ; 14. OTP iroda átalakítás részlet ; 1961. 06.30. 11. H ; 44. A lakásmegosztás 1952-ből ; fotó: muemlekem.hu			0	214
1074	Dob utca 9., Wesselényi utca 8.	Dob utca 9.	  Wesselényi utca 8.		47.4972242,19.0601398	lakóház		<lakó>, ;				na	0			21. H			0	215
	Dobozi utca 27.	Dobozi utca 27.				lakóház		<lakó>, ;				na	0						0	216
	Dohány utca 12-14.	Dohány utca 12-14.			47.495596,19.061314	köz-és üzemi épület: nyomda-és irodaház, Tolnai lapkiadó, Tolnai (Egyetemi) Nyomda	lap	<üzem>,<nyomda>,<iroda>,<kiadó>,<egyetem>,<nyomda>	'Tolnai lapkiadó, Tolnai (Egyetemi) Nyomda'			197.o.	0			Pollack Mihály tervezte klasszcista lakóépület (1816) Műemlék - törzsszám: 15583 ; http://muemlekem.hu/muemlek?id--829	(1) http://muemlekem.hu/muemlek?id--829	http://muemlekem.hu	1	217
1074	Dohány utca 30/a	Dohány utca 30/a			47.496062,19.064443	ötemeletes bérház	bér			5-S<emelet>			0						0	218
1074	Dohány utca 31. korábbi	Dohány utca 31.		**korábbi	47.496902,19.067184	négyemeletes ház				4-S<emelet>		MZs	0						0	219
1073	Dohány utca 47. 	Dohány utca 47.			47.498028,19.06936	négyemeletes ház				4-S<emelet>			0						0	220
1074	Dohány utca 58-62.	Dohány utca 58-62.			47.497993,19.068917	négyemeletes ház				4-S<emelet>		204.o.	0			tervtár: eredeti tervek, műszaki leírások és számítások, határozatok, átalakítási és korszerűsítési tervek, lakásleválasztások különböző korszakokból			0	221
1074	Dohány utca 94.	Dohány utca 94.			47.501007,19.073647	négyemeletes ház				4-S<emelet>		208.o.	0			kikérve, átnézve			0	222
1015	Donáti utca 40-42	Donáti utca 40-42.			47.506105,19.034939	háromemeletes ház				3-S<emelet>			0			kétudvaros ház 1920-tól: Fém- Jtékáru és Faipari Részvénytársaság asztalosműhelye a házban			0	223
	Donáti utca 55?	Donáti utca 55.		**?		négyemeletes ház				4-S<emelet>			0						0	224
1015	Donáti utca 69.	Donáti utca 69.			47.506117,19.035349	négyemeletes ház				4-S<emelet>		MZs	0						0	225
1051	Dorottya utca 8.	Dorottya utca 8.			47.497736,19.048788								0			védett; de helyszínen tábla, h 1940-ben épült a Magyar Nemzeti Parasztpárt támogatásra! Medgyaszay-emlékház: 1118 Bp, Ménesi út 59/B. T: 385-3644.			0	226
1071	Dózsa György  út 38.	Dózsa György  út 38.			47.504896,19.087542	Lakóépület		<lakó>, ;				211.o.	0			fsz-en bolthelyiségek, később rézkarcnyomó!			0	227
1068	Dózsa György út 102.	Dózsa György út 102.			47.51546,19.075413	kétemeletes ház				2-S<emelet>		MZs	0			nincs tervtári anyag!			0	228
	Dózsa György út 138-142	Dózsa György út 138-142.				székesfővárosi kislakásos bérház	kis bér	<lakás>				165-167	0			helyi védettség			0	229
	Dózsa György út 140-142.	Dózsa György út 140-142.				Szfv-i kislakásos bérházak	kis bér	<lakás>			2--Q<db>	165-167	0			BGy Fototár: 001160			0	230
1132	Dózsa György út 152.	Dózsa György út 152.			47.523073,19.065012	népszálló, ma: BMSZKI - Budapesti Módszertani Szociális Központ és Intézményei központja	nép |	<szálló>;<|>,<központ>,<központja>	'Népszálló' | 'BMSZKI - Budapesti Módszertani Szociális Központ és Intézményei központja'			174-175	0			1. A - 1953; 5. A - 1963 ; fotó: BGy Fototár: : 001068, 001069, 010731, 001070, 001071, 001072			0	231
1146	Dózsa György út 17.--Abonyi utca 1	Dózsa György út 17.	Abonyi utca 1.		47.5052383	lakóház		<lakó>, ;				77	0			BGy Fototár: Nincs adat DE 000269 szomszéd ház, DGy 19.			0	232
1146	Dózsa György út 5 - Thököly utca 44	Dózsa György út 5.	 Thököly utca 44.		47.504273,19.088809	négyemeletes ház				4-S<emelet>		MZs	0						0	233
1134	Dózsa György út 80.	Dózsa György út 80.			47.5101624,19.0818195	lakóház		<lakó>, ;				na	0			2. A; 6. M; 8. H; 17.H; 22. H 1949-es felújítás ; fotók: 2., 8., 17. Beszkennelt!			0	234
1133	Dráva utca 11. nincs meg	Dráva utca 11.		**nincs meg	47.52609,19.057716	ötemeletes ház				5-S<emelet>		MZs	0						0	235
	Dugonics utca 15.	Dugonics utca 15.				lakóház		<lakó>, ;					0						0	236
	Dugonics utca 17-21.	Dugonics utca 17-21.				Kövessi Erzsébet Szakképző Iskola		<iskola>	'Kövessi Erzsébet Szakképző Iskola'				0						0	237
1149	Egressy út 69. 	Egressy út 69.			47.512773,19.117336	Hermann Ottó Ált. Isk.		<isk>	'Hermann Ottó Ált. Isk.'			177-179	0			fotó: BGy Fototár:  001142, 001143, 001145			0	238
1069	Eötvös utca 29.	Eötvös utca 29.			47.507734,19.062239	Rosenfeld ház	rosenfeld		'Rosenfeldház'			132-134	0			A Rosenfeld-ház 1910-ben épült, négy emeletes, tervezői Málnai Béla és Haász Gyula. Itt lakott Basilides Mária énekesnő, valamint Péterfi István zenekritikus. http://www.terezvaros.hu/webterkep/lista.phtml?op=reszletes&epulet_id=1320	(1) http://www.terezvaros.hu/webterkep/lista.phtml?op=reszletes&epulet_id=1320	http://www.terezvaros.hu	1	239
	Eötvös utca 41	Eötvös utca 41.				svábhegyi víztorony		<víztorony>					0						0	240
1086	Erdélyi utca 7.	Erdélyi utca 7.			47.492892,19.080974	lakóház		<lakó>, ;				50-51	0						0	241
1026	Érmelléki út 9. 	Érmelléki út 9.			47.510802,19.017688	villa		<villa>;				http://www.muemlekem.hu/muemlek?id=-7803	1	www.muemlekem.hu	(1) <http://www.muemlekem.hu/muemlek?id=-7803>	helyi védett, azonosító: 54/1993, BZ szerint; helyi védett, azonosító: 54/1993, BZ szerint, 1922-23-as lakásjegyzékben: http://library.hungaricana.hu/en/view/BPLAKCIMJEGYZEK_28_1922-1923/?pg=675&zoom=h&layout=s	(1) http://library.hungaricana.hu/en/view/BPLAKCIMJEGYZEK_28_1922-1923/?pg=675&zoom=h&layout=s	http://library.hungaricana.hu	1	242
	Érmelléki utca 3.	Érmelléki utca 3.			47.510088,19.017113							BZ-tól	0						0	243
	Érmelléki utca 4	Érmelléki utca 4.			47.510284,19.016341	emeletes nyaraló		<nyaraló>;		?-S<emelet>			0						0	244
1051	Erzsébet tér 5.	Erzsébet tér 5.			47.497928, 19.051504	egykor a Hazai Bank Rt. Bérháza, ma lakóház üzletekkel	bér |	<bank>,<|>,<üzlet>; <lakó>, 	'Hazai Bank Rt. bérháza' |				0			Hazai Bank Részvény Társaság bérházépülete			0	245
1052	Erzsébet tér 9--10 -- Deák Ferenc utca 16-18	Erzsébet tér 9-10.	 Deák Ferenc utca 16-18.		47.497305,19.053289	négyemeletes ház, egykor Adria Biztosító Társulat székháza, jelenleg Le Meridien Szálloda	szék |	<|>; <Szálloda>	'Adria Biztosító Társulat székháza' | 'Le Meridien Szálloda'	4-S<emelet>			0						0	246
1114	Fadrusz utca 6.	Fadrusz utca 6.			47.477228,19.043794	Steiner ház			'Steiner ház'				0						0	247
1055	Falk Miksa 16 - Stollár Béla 5. nem épült meg	Falk Miksa utca 16.	Stollár Béla utca 5.	***nem épült meg	47.510444,19.047943	ötemeletes ház				5-S<emelet>		MZs	0						0	248
1055	Falk Miksa utca 13. -- Balaton utca 8.	Falk Miksa utca 13.	 Balaton utca 8.		47.511688,19.048752	lakóház		<lakó>, ;				na	0			5. H ; 21. A lakmegoszt 1932 ; 45. H Nagyházi g balatonutca ; 5.h nagy és sérült; 5 szobás lak ketté; Kieselbach g portálterv ???			0	249
1055	Falk Miksa utca 15.	Falk Miksa utca 15.			47.511855,19.048835	lakóház		<lakó>, ;				169-170	0						0	250
1055	Falk Miksa utca 18-20 -- Stollár Béla utca 6.	Falk Miksa utca 18-20.	 Stollár Béla utca 6.		47.510784,19.048028	5em lakóház		<lakó>, ;		5-S<emelet>			0						0	251
1055	Falk Miksa utca 24-26. -- Balaton utca 5.	Falk Miksa utca 24-26.	 Balaton utca 5.		47.5113671,19.0483873	Lakóház, a földszinten üzletekkel		<lakó>, ;<üzlet>					0			nincs adat, Nyitva: SZ-V 11:00-17:00			0	252
1055	Falk Miksa utca 3.	Falk Miksa utca 3.			47.509082, 19.048126	Lakóház, a földszinten üzletekkel		<lakó>, ;<üzlet>					0			nincs adat			0	253
1055	Falk Miksa utca 30.	Falk Miksa utca 30.			47.511992, 19.048473								0			http://kep-ter.blogspot.hu/2011/04/falk-miksa-u-30.html	(1) http://kep-ter.blogspot.hu/2011/04/falk-miksa-u-30.html	http://kep-ter.blogspot.hu	1	254
1055	Falk Miksa utca 30.	Falk Miksa utca 30.			47.512053,19.048479	lakóház		<lakó>, ;				18	0						0	255
1055	Falk Miksa utca 4.	Falk Miksa utca 4.			47.508981,19.047634	ötemeletes ház				5-S<emelet>		BZ-tól	0			1935-től Rácz Manó és neje tulajdona, szabályozási terven 1914-16			0	256
	Fecske utca 22. 	Fecske utca 22.			47.493267,19.075971							124	0						0	257
1084	Fecske utca 25-29.--Déri Miksa utca 10.	Fecske utca 25-29.	Déri Miksa utca 10.		47.49336,19.075714	lakóház		<lakó>, ;				na	0						0	258
1084	Déri Miksa utca 15 -- Fecske utca 33	Déri Miksa utca 15.	 Fecske utca 33.		47.492962,19.075919	négyemeletes ház				4-S<emelet>		MZs	0			Az 1890-es Lakcímjegyzékben már szerepel lakott épületként, lakója Riha Tamás bérkocsis, 1908-1911 Baumgarten Tamás, 1912-13 Weisz Márk, majd 1914 Nagy Izsóné és b. tsa; továbbá fotók a sarokról a Fortepanon 1956-ból; ezenkívül pedig 1880-as évekből kötelezvény + vagyoni per a telekről [SZB]			0	259
	Fehérhajó utca 12-14.	Fehérhajó utca 12-14.				Lakóház		<lakó>, ;					0						0	260
1052	Fehérhajó utca 16.	Fehérhajó utca 16.			47.496489,19.053924	lakóház		<lakó>, ;				na	0			16. A			0	261
1052	Fehérhajó utca 8-10	Fehérhajó utca 8-10.			47.496191,19.052717							88	0						0	262
	Fehérvári út 16.	Fehérvári út 16.			47.474892, 19.046936	Fehérvári úti piac		<piac>	'Fehérvári úti piac'				0			http://budapestcity.org/03-muemlekek/11/Fehervari-uti-vasarcsarnok/index-hu.htm	(1) http://budapestcity.org/03-muemlekek/11/Fehervari-uti-vasarcsarnok/index-hu.htm	http://budapestcity.org	1	263
1116	Fehérvári út 2	Fehérvári út 2.			19.0471908, 47.4761873	iskola		<iskola>				171	0			fotó: BGy Fototár: 001146, 001147, 001148 és 001848 -- utcakép ; Isk web: 1912-09-05			0	264
1117	Fehérvári út 46	Fehérvári út 46.			47.469849,19.04525	négyemeletes ház				4-S<emelet>		MZs	0			IKV kezelte a szomszéddal együtt 1954-ben			0	265
1117	Fehérvári út 48.	Fehérvári út 48.			47.469849,19.04525	négyemeletes ház				4-S<emelet>		MZs	0			homlokzati terven sokkal gazdagabb, ff pepita csík fut az ablakok körül. Belső miniudvar (külön hrsz-on) kerítése is díszes, szec.s IKV kezelte a szomszéddal együtt 1954-ben			0	266
1117	Fehérvári út 70	Fehérvári út 70.			47.466447,19.044701	gyári épület		<gyár>;				Gerle-Kovács-Makovecz: A századforduló magyar építészete	0						0	267
	Ferenc tér -- Bokréta utca 18.	Ferenc tér	 Bokréta utca 18.		47.481597,19.074443								0						0	268
1094	Ferenc tér 4.	Ferenc tér 4.											0						0	269
1053	Ferenciek tere 10. -- Petõfi Sándor utca 2-4.	Ferenciek tere 10.	 Petõfi Sándor utca 2-4.		47.49324,19.054924	Párisi-udvar, irodák, üzletek		<udvar>,<üzlet>	'Párisi-udvar'		2--Q<db>		0						0	270
1053	Ferenciek tere 11.	Ferenciek tere 11.			47.493139,19.054192	Arany-ház			'Arany-ház'			http://muemlekem.hu/muemlek?id=469	1	muemlekem.hu	(1) <http://muemlekem.hu/muemlek?id=469>	műemléki azonosító: 15349			0	271
	Ferencvárosi pályaudvar			**Ferencvárosi pályaudvar	47.467216,19.089978	víztorony		<víztorony>					0			http://viztorony.hu/h/budapest/65.html	(1) http://viztorony.hu/h/budapest/65.html	http://viztorony.hu	1	272
	Ferencvárosi víztorony			**Ferencvárosi víztorony	47.467216,19.089978	víztorony		<víztorony>				MZs	0			http://viztorony.hu/h/budapest/65.html	(1) http://viztorony.hu/h/budapest/65.html	http://viztorony.hu	1	273
1053	Ferenczy István utca 14	Ferenczy István utca 14.			47.492425,19.059079	négyemeletes ház				4-S<emelet>		102	0			"1913-as a ház, 1914-ben ""központi melegvíz fűtéses kazánházat"" építettek csupán."			0	274
	Fiastyúk utca 47-49.	Fiastyúk utca 47-49.			47.542353,19.081746	iskola		<iskola>					0						0	275
1024	Fillér utca 48.	Fillér utca 48.			47.513838,19.015923	háromemeletes ház				3-S<emelet>		MZs	0			1908-as átépítési engedély			0	276
	Fillér utca 9-13	Fillér utca 9-13.				emeletes ház 				?-S<emelet>			0						0	277
	Fiumei út 12/b	Fiumei út 12/b			47.497904,19.082007							129	0						0	278
1081	Fiumei út 19/a -- Dologház utca 7. -- Alföldi utca 20.	Fiumei út 19/a	Dologház utca 7.	Alföldi utca 20.	47.495835,19.083163	OTI székház	szék		'OTI székház'			156-57	0			http://egykor.hu/budapest-viii--kerulet/oti-szekhaz-fiumei-ut/969; I. szakasz tervezése, BFL-ben '30-as évek anyaga!	(1) http://egykor.hu/budapest-viii--kerulet/oti-szekhaz-fiumei-ut/969;	http://egykor.hu	1	279
1087	Fiumei út 7. nem épült meg	Fiumei út 7.		**nem épült meg	47.498701,19.080517	ötemeletes ház				5-S<emelet>		MZs	0						0	280
1027	Fő utca 55. nincs meg	Fő utca 55.		**nincs meg	47.508506,19.038573	ötemeletes ház				5-S<emelet>		MZs	0						0	281
1148	Fogarasi út 3. nincs meg	Fogarasi út 3.		**nincs meg	47.501571,19.115545	négyemeletes ház				4-S<emelet>		MZs	0						0	282
1148	Fogarasi út 5	Fogarasi út 5.			47.501437,19.115013	istálló		<istálló>				MZs	0						0	283
	Folyondár utca, több új ház, egy pici a Folyóka utcában talán	Folyondár utca		**több új ház, egy pici a Folyóka utcában talán		földszintes ház				0-S<emelet>			0						0	284
	Fõvám tér 4.	Fõvám tér 4.				Lakóház 		<lakó>, ;					0						0	285
1056	Fővám tér 5. -- Váci utca 85.	Fővám tér 5.	 Váci utca 85.		47.4879,19.057277	lakóház		<lakó>, ;				na 158, 	0			Országos Rabbiképző Intézet Igazgatósága: http://search.archives.jdc.org/multimedia/Documents/NY_AR2132/00037/NY_AR2132_00365.pdf	(1) http://search.archives.jdc.org/multimedia/Documents/NY_AR2132/00037/NY_AR2132_00365.pdf	http://search.archives.jdc.org	1	286
1139	Frangepán utca 2--6.  - Lomb utca 2.	Frangepán utca 2-6.	 Lomb utca 2.		47.536631,19.068959	lakóház		<lakó>, ;				na	0			"Beszkennelt: 7. H; 8. H ; fotó: BGy Fototár: 010245, 010246, 001106, 001103 (a fotótár címhivatkozása az utolsó képnél hibás - valójában Váci út 87.) *** Részletes információk a házról további fényképek: http://www.muemlekem.hu/muemlek?id=1184; csak az egyik ház utolsó ablaksora látszik, feltehetőleg valamikor a 70-es évekből: http://www.vasynet.com/downloads/linux/hamster/www.telnet.hu/hamster/kozlekedes/vaciutesujpest/vaci-belsokulso/vacimegallo.jpg; itt pedig csak tükröződik a villamos ablakában: http://www.vasynet.com/downloads/linux/hamster/www.telnet.hu/hamster/kozlekedes/vaciutesujpest/vaci-belsokulso/vacimegallo2.jpg *** Bárczy István bérlakás építési programja: Kabdebó Gyula - Budapest székesfőváros kislakás és iskola építkezései, 1913, Budapest, ""Pátria"" Irodalmi Vállalat és Nyomdai Részvénytársaság nyomása (terc.hu, térítésmentesen letölthető könyvek); Umbrai Laura: A hatósági kislakás-építés története Budapesten (1870-1948) - doktori disszertáció, ELTE, Budapest, 2007, pp. 54-106. + Függelék: V. VIII. és X. táblázatok; Erdei Gyöngyi: A mintaadó polgármester. Bárczy István beruházási programja (1906-1914) in Budapesti Negyed, 3. évfolyam, 9. (1995/3) Tematikus szám: Építők és építtetők - http://epa.oszk.hu/00000/00003/00008/erdei.htm#jegyz31 *** Lakók: itt élt Győriványi Sándor, a rendszerváltás utáni első kormány munkaügyi minisztere - forrás: Arcanum (Németh Györgyi szerk.: Manufaktúrák Magyarországon 2. Industria et Societas 1. Manufaktúrák és kora tőkés ipari kisvállalkozások. Sátoraljaújhely, 1991. október 3-4. (Miskolc, 1994), p. 267); 1956. novemberében a Szovjetúnióba deportálták a ház lakóját, Horánszki Jánost - forrás: Arcanum [Az 1956-os forradalom és szabadságharc kárpátaljai dokumentumai (A Szabolcs-Szatmár-Bereg Megyei Levéltár kiadványai II. Közlemények, 43. Nyíregyháza, 2012)]; 1935-ben ideköltözik Kaiser József, hogy a Szent Margit plébánia Dráva u., Röppentyű u., Rákos-patak és Duna által határolt területén új egyházközséget és lelkészséget szervezzen - az ideiglenes kápolna a Frangepán u. 4. alagsorában működik 1937-től Tours-i Szent Márton titulussal (http://www.esztergomi-ersekseg.hu/?fm=1&am=4&op=plebaniaview&p_id=132) *** Nyílászárók újramázolása: BUDAPEST SZÉKESFŐVÁROS TÖRVÉNYHATÓSÁGI BIZOTTSÁGA ÁLTAL AZ 1923. ÉVBEN TARTOTT KÖZGYŰLÉSEK JEGYZŐKÖNYVEI - 1923. október 19-iki közgyűlés. 1458—1461. szám. 521. o.; Villanyvilágítási berendezések előkészítése: BUDAPEST SZÉKESFŐVÁROS TÖRVÉNYHATÓSÁGI BIZOTTSÁGA HATÁSKÖRÉBEN (1920: VIII t.-c.) AZ 1924. ÉVBEN TARTOTT TANÁCSÜLÉSEK JEGYZŐKÖNYVEI 924. október 8-iki tanácsülés. 1111 — 1115. szám, 301. o."	(1) http://www.muemlekem.hu/muemlek?id=1184; (2) http://www.vasynet.com/downloads/linux/hamster/www.telnet.hu/hamster/kozlekedes/vaciutesujpest/vaci-belsokulso/vacimegallo.jpg; (3) http://www.vasynet.com/downloads/linux/hamster/www.telnet.hu/hamster/kozlekedes/vaciutesujpest/vaci-belsokulso/vacimegallo2.jpg (4) http://epa.oszk.hu/00000/00003/00008/erdei.htm#jegyz31 (5) http://www.esztergomi-ersekseg.hu/?fm=1&am=4&op=plebaniaview&p_id=132)	http://www.muemlekem.hu|http://www.vasynet.com|http://www.vasynet.com|http://epa.oszk.hu|http://www.esztergomi-ersekseg.hu	5	287
1139	Frangepán utca 5-11	Frangepán utca 5-11.			47.535858,19.071429	raktár		<raktár>				MZs	0			Ácsmester: Prinzhausen Gusztáv Ferenc Károly, örökösödési szerződés https://lnyr.eleveltar.hu/bflquery/detail.aspx?ID=2799635; Korabeli fotó BGY Képtárban: 010245, 010246, 001106	(1) https://lnyr.eleveltar.hu/bflquery/detail.aspx?ID=2799635;	https://lnyr.eleveltar.hu	1	288
	Frankel Leó, kápolna mögött	Frankel Leó út		**kápolna mögött		2 db négyemeletes ház				4-S<emelet>	2-Q<db>		0						0	289
1147	Fűrész utca 103 (?) nincs meg	Fűrész utca 103.		**nincs meg	47.525301,19.10721	kétemeletes épület				2-S<emelet>		MZs	0						0	290
	Fűrész-Bosnyák sarok	Fűrész utca	Bosnyák utca sarok										0						0	291
1124	Fürj utca 22	Fürj utca 22.			47.487807,19.018063	földszintes ház				0-S<emelet>			0						0	292
1124	Fürj utca 46 - Lejtő út 10.	Fürj utca 46.	 Lejtő út 10.		47.489202,19.013957	egyemeletes ház				1-S<emelet>		MZs	0						0	293
	Futó utca 13.	Futó utca 13.			47.488479, 19.074614	lakóház		<lakó>, ;				na	0						0	294
1087	Futó utca 29. későbbi v. átalakított	Futó utca 29.		**későbbi v. átalakított	47.487054,19.074633	háromemeletes ház				3-S<emelet>		MZs	0						0	295
	Futó utca 29/a	Futó utca 29/a										161	0						0	296
	Futó utca 32.	Futó utca 32.										161	0						0	297
	Gábor Áron utca 16 -- Pasaréti út 58.	Gábor Áron utca 16.	 Pasaréti út 58.		47.516463,19.003928	egyemeletes villa		<villa>		1-S<emelet>			0						0	298
1133	Garam utca 2.	Garam utca 2.			47.522175,19.054241	4 emeletes malomépület		<malom>;		4-S<emelet>		MZs	0						0	299
1026	Garas utca 12. 	Garas utca 12.			47.510684,19.018503	bérvilla, most részben szakorvosi rendel	bér |	<villa>,<|>,<rendelő>				Kovács Dani: Budapest Art Nouveau 170 o.	0			kicsit zavaros az évszámozása. az 1913-as terven van 1914-es ellenjegyzés. Aztán tervmódosítás 1915-ből. Műemlék, azonosítója: 15183; http://muemlekem.hu/muemlek?id=265 ; http://www.budapestarchitect.com/text/architecten/wellischandor_en.php#.UiI4mH_zPFA	(1) http://muemlekem.hu/muemlek?id=265 (2) http://www.budapestarchitect.com/text/architecten/wellischandor_en.php#.UiI4mH_zPFA	http://muemlekem.hu|http://www.budapestarchitect.com	2	300
1054	Garibaldi utca 5.	Garibaldi utca 5.			47.504803,19.047157								0						0	301
1095	Gát utca 34. régebbi fsz. ép.	Gát utca 34.		**régebbi fsz. ép.	47.476975,19.079419	gyár épület		<gyár>;				MZs	0						0	302
1031	Gázgyári munkás és tisztviselő lakótelep, Sujtás utca-Gázgyár utca	Sujtás utca	Gázgyár utca		47.564206,19.051268	Óbudai gázgyári tisztviselői lakások	gáz	<lakó>;<lakás>	'Óbudai gázgyári'			Gerle-Kovács-Makovecz: A századforduló magyar építészete p. 225.	0			SZ 10:00-13:00 V 15:00-18:00			0	303
	Gellérthegy utca 13.	Gellérthegy utca 13.				lakóház		<lakó>, ;				48-49	0			védett, 3. HM			0	304
	Gerlóczy utca	Gerlóczy utca				családi ház	családi						0						0	305
1052	Gerlóczy utca 11-- Semmelweis utca 27.	Gerlóczy utca 11.	 Semmelweis utca 27.		47.495865,19.05703	lakóház		<lakó>, ;				39-42	0						0	306
1052	Gerlóczy utca 7., Vitkovics M. utca 10.	Gerlóczy utca 7.	  Vitkovics M. utca 10.		47.495102,19.056794	lakóház		<lakó>, ;				61, 226,etc	0			4. H; 13. H			0	307
	Gizella út 27	Gizella út 27.				földszintes épületek				0-S<emelet>	2--Q<db>		0						0	308
1143	Gizella út 34 - Semsey Arnold utca 16. későbbi v. átalakított	Gizella út 34.	Semsey Arnold utca 16.	***későbbi v. átalakított	47.508394,19.099822	négyemeletes ház				4-S<emelet>		MZs	0						0	309
1133	Gogol utca 22. -- Hegedűs Gyula utca 71.	Gogol utca 22.	 Hegedűs Gyula utca 71.		47.520503,19.057862	ötemeletes bérház	bér			5-S<emelet>			0			átalakított, utószecessziós stílus			0	310
	Gombocz Zoltán utca	Gombocz Zoltán utca				emeletes ház				?-S<emelet>			0						0	311
1131	Göncöl utca végig	Göncöl utca végig			47.542955,19.078050	emeletes üzletház		<üzlet>		?-S<emelet>		MZs	0			- a Tripolisz munkástelephez tartozhatott			0	312
	Göncöl utcától keletre			**Göncöl utcától keletre		emeletes épület				?-S<emelet>		MZs	0						0	313
1123	Greguss utca 10.	Greguss utca 10.			47.498941,19.022199	háromemeletes ház				3-S<emelet>		MZs	0						0	314
1123	Greguss utca 3.	Greguss utca 3.			47.499074,19.023191	háromemeletes ház				3-S<emelet>		BZ-tól	0			kikérve, átnézve			0	315
1123	Greguss utca 4. 	Greguss utca 4.			47.498885,19.023036	3 emeletes lakóház		<lakó>, ;		3-S<emelet>		Gerle-Kovács-Makovecz: A századforduló magyar építészete	0						0	316
1123	Greguss utca 5.	Greguss utca 5.			47.499112,19.022955	háromemeletes ház				3-S<emelet>		MZs	0			Korabeli térképen a hrsz. 1453-56, címjegyzékben Décsi (Détsi)Albert és b. társai található (mert az övék volt az egész telek, amit a mai Ráth György, Alkotás, Nagyenyed és Kékgolyó utcák határolnak), fortepanon van fotó a környékről Enyed utca keresőszóval (II. vh. után)			0	317
1123	Greguss utca 8	Greguss utca 8.			47.498925,19.022489	háromemeletes ház				3-S<emelet>		MZs	0			Korabeli térképen a hrsz. 1453-56, címjegyzékben Décsi (Détsi) Albert és b. társai található (mert az övék volt az egész telek, amit a mai Ráth György, Alkotás, Nagyenyed és Kékgolyó utcák határolnak), fortepanon van fotó a környékről Enyed utca keresőszóval (II. vh. után)			0	318
1123	Greguss-Ráth Gy.-Nagyenyedi u határolta 2 tömb	Greguss-Ráth Gy. utca	Nagyenyedi utca határolta	***2 tömb	47.499021,19.022724	háromemeletes ház				3-S<emelet>			0						0	319
1123	Greguss-Ráth Gy.-Nagyenyedi u határolta 2 tömb	Greguss-Ráth Gy. utca	Nagyenyedi utca határolta	***2 tömb	47.499021,19.022724	háromemeletes ház				3-S<emelet>			0						0	320
1123	Greguss-Ráth Gy.-Nagyenyedi u határolta 2 tömb	Greguss-Ráth Gy. utca	Nagyenyedi utca határolta	***2 tömb	47.499021,19.022724	háromemeletes ház				3-S<emelet>			0						0	321
	Gubacsi út ?.	Gubacsi út ?.				Gubacsi telep		<telep>	'Gubacsi telep'				0						0	322
1097	Gubacsi út 2.	Gubacsi út 2.			47.468983,19.079248	istálló		<istálló>				MZs	0						0	323
	Gutenberg tér 3.	Gutenberg tér 3.				lakóház		<lakó>, ;					0						0	324
	Gyáli út 21.	Gyáli út 21.											0						0	325
	Gyáli út 22.	Gyáli út 22.				Puskás Tivadar Távközlési Technikum		<technikum>	'Puskás Tivadar Távközlési Technikum'				0						0	326
1097	Gyáli út 8. 	Gyáli út 8.				Zita Kórház dohánytőzsdéje		<kór>, <dohánytőzsde>;	'Zita kórház dohánytőzsde'			Gerle-Kovács-Makovecz: A századforduló magyar építészete p. 234	0			http://www.europeana1914-1918.eu/en/europeana/record/08606/220010893	(1) http://www.europeana1914-1918.eu/en/europeana/record/08606/220010893	http://www.europeana1914-1918.eu	1	327
1145	Gyarmat utca 7/b	Gyarmat utca 7/b			47.515272,19.099711	egyemeletes ház				1-S<emelet>		MZs	0			helyi védelem: 54/1993(1994.II.1.), szabályozási terv, http://www.muemlekem.hu/muemlek?id=-8386#57713	(1) http://www.muemlekem.hu/muemlek?id=-8386#57713	http://www.muemlekem.hu	1	328
	Gyorskocsi utca 11	Gyorskocsi utca 11.				emeletes ház				?-S<emelet>			0						0	329
